Name	Length	CAI	%G+C	%G+C(1)	%G+C(2)	%G+C(3)	Nc
b0493	810	0.719	54.3	57.8	43.7	61.5	48.1
b0494	627	0.724	52.8	59.3	38.3	60.8	46.9
b0495	687	0.68	56.6	69.9	39.7	60.3	47.3
b0496	2415	0.715	57.6	64.3	42.1	66.3	44.5
b0497	4281	0.667	60.1	63.6	48.3	68.5	44
b0498	369	0.643	30.6	41.5	29.3	21.1	47.2
b0502	372	0.66	50.3	61.3	40.3	49.2	56.7
b0503	1095	0.752	55.6	67.4	41.4	58.1	43.2
b0504	927	0.689	52.4	56	43.7	57.6	49.4
b0505	483	0.736	51.1	63.4	34.2	55.9	43.9
b0506	816	0.686	52.6	60.3	43	54.4	50.9
b0507	1782	0.743	52.9	64.1	40.7	53.9	42.7
b0508	777	0.761	44.7	55.2	37.1	41.7	47.3
b0509	879	0.769	50.7	61.4	41.3	49.5	42.8
b0511	1455	0.729	47	50.1	40.2	50.7	50.1
b0512	1362	0.783	51.6	63	39.2	52.6	38.3
b0513	1302	0.69	51.2	52.5	45.2	56	48.1
b0514	1146	0.74	55.6	64.9	44.5	57.3	45.1
b0515	786	0.76	46.2	55	36.6	46.9	44.7
b0516	1236	0.724	51.4	58.7	41.5	53.9	47.9
b0517	1050	0.714	52.4	59.4	41.7	56	49.9
b0518	1668	0.733	55.6	63.1	45.1	58.5	46.3
b4572	1260	0.714	57.2	63.1	46.2	62.4	43.7
b0520	816	0.659	56.9	64.3	52.6	53.7	47.3
b0521	894	0.712	56.9	67.4	45.3	58.1	43.1
b0522	1068	0.776	56.5	65.2	42.1	62.1	40.9
b0523	510	0.774	59	67.6	45.9	63.5	39.3
b0524	723	0.745	54.5	64.3	39	60.2	43.2
b0525	495	0.779	47.9	53.9	34.5	55.2	33.7
b0526	1386	0.775	54.5	62.8	37.7	63	40.6
b0527	522	0.707	53.1	52.3	46.6	60.3	45.6
b0528	213	0.797	54.9	63.4	43.7	57.7	37.3
b0529	867	0.731	54.3	65.7	40.8	56.4	47.1
b0530	543	0.657	44.6	50.8	48.1	34.8	49
b0531	693	0.679	42.6	45.9	39.4	42.4	54.5
b0532	2604	0.708	47.8	52.1	44.1	47.2	51
b0533	984	0.686	45.5	52.7	41.8	42.1	50.2
b0534	516	0.631	50	54.7	48.3	47.1	52.7
b0535	633	0.678	36.7	39.3	32.7	37.9	58.3
b0537	1164	0.604	46.9	53.9	39.4	47.4	59.7
b0540	300	0.67	50	59	43	48	59.4
b0541	867	0.685	55.1	56.7	46.7	61.9	47.7
b0543	333	0.613	41.1	42.3	45.9	35.1	38
b4733	150	0.758	24.7	22	22	30	55.6
b0544	1527	0.621	35.6	41.8	36.1	28.7	49.8
b0545	552	0.563	42.4	51.6	50	25.5	53.7
b0546	798	0.581	36.2	44	36.1	28.6	48.8
b4588	102	0.618	49	47.1	47.1	52.9	33.6
b0547	456	0.687	50.4	53.3	38.2	59.9	54
b0548	171	0.584	48.5	52.6	49.1	43.9	58.6
b0549	291	0.684	53.3	58.8	51.5	49.5	45.8
b0550	363	0.713	53.2	59.5	41.3	58.7	43.5
b4509	141	0.618	47.5	53.2	42.6	46.8	51.6
b0551	384	0.708	43	46.1	36.7	46.1	59.1
b0552	1017	0.707	54.7	55.8	37.5	70.8	43
b0554	216	0.663	47.7	50	43.1	50	53
b0555	498	0.621	47.6	54.2	47	41.6	55.7
b0556	462	0.689	51.3	58.4	42.2	53.2	53.8
b4510	183	0.558	56.8	52.5	49.2	68.9	34.9
b0557	294	0.633	41.5	51	39.8	33.7	61
b0558	411	0.685	31.6	39.4	26.3	29.2	48.7
b0559	207	0.707	39.6	50.7	29	39.1	44.3
b4589	195	0.647	43.6	38.5	49.2	43.1	39.6
b0560	546	0.674	52.6	64.8	36.8	56	51.6
b0561	564	0.687	48.9	58	38.3	50.5	54.2
b0563	186	0.716	49.5	56.5	35.5	56.5	47.4
b0564	750	0.637	31.7	32.8	34	28.4	53.4
b0565	954	0.632	43.4	46.5	42.8	40.9	52.4
b0566	762	0.71	46.3	42.9	37	59.1	45.9
b0567	891	0.724	52.3	58.2	43.1	55.6	45.2
b0568	2973	0.703	55.1	64.4	42.9	57.9	49.5
b0569	2238	0.731	52.5	59.5	38.2	59.8	47.1
b0570	1443	0.686	52	58.4	36.6	61.1	47.5
b0571	684	0.719	53.8	60.5	34.2	66.7	40.5
b0572	1374	0.732	51.2	58.3	41.3	54.1	46.4
b0573	333	0.8	45.3	50.5	32.4	53.2	41.2
b0574	1224	0.723	55.7	60.8	45.6	60.8	42.5
b0575	3144	0.738	55.7	60.7	40.5	65.9	41.8
b0576	1377	0.767	52.5	54.7	39.2	63.6	43.2
b0577	1248	0.747	47.5	52.4	36.3	53.8	45.4
b0578	654	0.752	51.5	61.5	37.2	56	40.7
b0579	369	0.695	47.2	55.3	33.3	52.8	45.9
b0580	249	0.73	50.6	54.2	37.3	60.2	38.4
b0581	1119	0.745	51.9	59.8	39.9	56	47.5
b4415	153	0.606	47.7	54.9	31.4	56.9	35.3
b0582	1113	0.573	51.9	63.3	48.2	44.2	57.9
b0583	621	0.628	47.5	57.5	39.6	45.4	61
b0584	2241	0.774	54.1	54.2	44.8	63.2	40.1
b0585	1203	0.655	54.9	62.6	46.4	55.9	56.5
b4511	219	0.727	55.7	57.5	46.6	63	45.6
b0586	3882	0.722	56.5	67	45.3	57.3	45.5
b0587	1134	0.718	45	52.9	34.1	47.9	51.7
b0588	816	0.705	53.9	63.2	44.5	54	48.9
b0589	993	0.717	58.2	59.8	48	66.8	45.7
b0590	1005	0.709	61	66.3	51	65.7	44.4
b0591	1251	0.73	58	59	47.7	67.4	47
b0592	957	0.698	55.1	63.3	43.6	58.3	50.2
b0593	1176	0.746	56.5	64	46.2	59.2	45.7
b0594	1611	0.743	56.1	64.1	43	61.1	43.8
b0595	858	0.773	55.4	61.2	37.8	67.1	43.6
b0596	747	0.73	58	64.7	45.8	63.5	47.8
b0597	414	0.708	56.8	65.9	46.4	58	46.4
b0598	2106	0.757	57.2	59.8	43.3	68.5	41.1
b4512	198	0.733	52	59.1	39.4	57.6	46.1
b0599	1089	0.72	55.2	66.4	41.6	57.6	43.2
b0600	1161	0.726	53.8	62.3	41.9	57.4	48.1
b0601	630	0.734	46.8	56.7	35.7	48.1	46.8
b0602	1221	0.649	47.6	52.6	40	50.1	53.8
b0603	903	0.638	38.6	43.5	32.6	39.9	61
b0604	747	0.618	46.9	54.2	36.5	49.8	56.1
b0605	564	0.755	50	56.9	39.4	53.7	29.9
b0606	1566	0.766	53.1	60.3	39.7	59.4	39.5
b0607	429	0.696	49.9	67.1	35	47.6	55.8
b0608	1239	0.692	50.1	63.2	41.4	45.8	51.2
b4734	90	0.625	44.4	50	26.7	56.7	42.3
b0610	411	0.687	54.7	67.2	39.4	57.7	45.7
b0611	807	0.697	51.2	57.2	48	48.3	51.5
b0612	1464	0.725	50.6	52.5	42.2	57.2	45.6
b0613	879	0.668	54.7	62.1	47.1	54.9	53.3
b0614	552	0.657	58.3	68.5	44	62.5	44.6
b0615	1533	0.77	56.4	65.9	42.9	60.3	38.5
b0616	909	0.772	57.5	68.6	42.9	61.1	36.5
b0617	297	0.692	55.9	66.7	40.4	60.6	41.7
b0618	1059	0.718	50.9	56.1	39.7	56.9	49.1
b0619	1659	0.703	50.1	57.7	36.3	56.2	48.6
b0620	681	0.657	50.5	60.8	40.1	50.7	52.7
b0621	1386	0.707	50.9	53.5	41.6	57.8	45.9
b0622	561	0.742	46.9	49.2	42.8	48.7	51.1
b0623	210	0.657	43.8	48.6	38.6	44.3	40.4
b0624	384	0.671	48.4	47.7	46.1	51.6	52.9
b0627	204	0.646	50	63.2	35.3	51.5	53.1
b0628	966	0.753	53.4	63	41.6	55.6	45.4
b0629	954	0.655	44.9	52.5	34.9	47.2	57.1
b0630	642	0.669	47.7	60.7	36.9	45.3	46.3
b0631	264	0.702	46.2	58	30.7	50	40.5
b0632	1212	0.758	49.3	54.2	38.1	55.7	41.6
b0633	1089	0.667	57.3	62.5	53.7	55.6	51.5
b0634	1113	0.69	52	59	37.5	59.6	50.6
b0635	1902	0.742	52.5	59.6	40.2	57.7	44.5
b0636	468	0.661	58.3	64.1	44.9	66	53.3
b0637	318	0.741	51.3	60.4	33	60.4	47
b0638	612	0.678	51.1	62.7	38.7	52	47.7
b0639	642	0.697	50	60.7	37.9	51.4	50
b0640	1032	0.69	52.3	63.7	38.1	55.2	54.5
b0641	582	0.715	52.2	54.1	44.3	58.2	47.7
b0642	2583	0.76	53.3	60.6	38.1	61.3	37.7
b0643	483	0.696	52.6	64.6	34.2	59	44.1
b0644	978	0.678	47	56.4	38	46.6	54.4
b0645	708	0.653	45.8	51.3	42.8	43.2	59.8
b0646	1428	0.687	47.5	58.2	37.2	47.1	54.6
b0647	555	0.679	42.7	49.2	40.5	38.4	54.9
b0648	708	0.635	47.6	52.5	42.4	47.9	61
b0649	1452	0.685	47.7	57.2	38.8	47.1	51.6
b0650	1671	0.738	50	57.5	39.5	53.1	49.3
b0651	936	0.725	50.9	61.9	40.1	50.6	46.5
b0652	726	0.78	52.3	61.6	33.5	62	40.1
b0653	675	0.766	50.2	49.8	39.6	61.3	48.3
b0654	741	0.734	52.5	52.6	40.5	64.4	44.2
b0655	909	0.753	48.7	55.1	35.6	55.4	39.4
b0656	1017	0.707	54.7	55.8	37.5	70.8	43
b0657	1539	0.764	55.7	56.7	44.2	66.1	39.7
b0658	879	0.72	51.5	62.1	31.7	60.8	44.9
b0659	468	0.756	51.7	65.4	30.8	59	46.2
b0660	1041	0.77	54.4	64.3	37.2	61.7	37.4
b0661	1425	0.772	54.2	60.6	38.7	63.2	40.6
b0662	1176	0.725	57.1	66.8	42.9	61.7	44
b0674	1665	0.768	52.1	60.9	38	57.5	42.5
b0675	753	0.756	53	57.8	41.8	59.4	46.2
b0676	1221	0.745	53	62.2	38.8	58	42.9
b0677	1149	0.753	51.8	60.1	40.5	54.8	44.3
b0678	801	0.773	48.8	56.9	36.7	52.8	40.4
b0679	1947	0.751	54.8	60.4	42.4	61.5	40.4
b0680	1665	0.798	52.5	58.6	38.4	60.5	37.2
b0681	1407	0.75	51.2	51.8	43.1	58.8	44.5
b0682	327	0.73	48	57.8	36.7	49.5	41.7
b0683	447	0.74	47.9	64.4	31.5	47.7	45.6
b4637	87	0.678	40.2	41.4	44.8	34.5	60.6
b0684	531	0.751	49	61	35	50.8	41.6
b0685	294	0.715	53.7	66.3	36.7	58.2	46.2
b0686	765	0.708	50.8	66.3	36.1	50.2	43
b0687	546	0.702	49.6	53.8	40.1	54.9	53.6
b0688	1641	0.761	55.3	63.1	42.2	60.5	39.9
b0689	495	0.662	45.5	47.3	44.2	44.8	49.5
b0692	1320	0.737	50.6	50.2	43.9	57.7	43.2
b0693	2199	0.741	49.3	61.5	37.5	49	47.4
b4590	258	0.602	44.2	52.3	37.2	43	56.3
b0694	678	0.72	56.6	69.9	39.8	60.2	45.3
b0695	2685	0.703	57.6	68.8	42.8	61.1	47.7
b0696	573	0.714	53.6	60.7	46.1	53.9	45.3
b0697	2049	0.753	56.2	61.6	44.4	62.7	43.8
b0698	1674	0.737	55.5	58.1	43.4	65.1	45.5
b4513	90	0.773	48.9	56.7	33.3	56.7	41.8
b0699	207	0.764	50.2	53.6	43.5	53.6	48.4
b0700	4194	0.702	59.2	62.2	48.1	67.2	42.9
b0702	327	0.538	31.2	32.1	31.2	30.3	52.8
b0704	570	0.616	36.7	42.6	33.7	33.7	51.6
b4514	255	0.685	38	50.6	30.6	32.9	42.2
b0706	762	0.669	39.6	50	30.7	38.2	59.1
b0707	510	0.696	50.4	64.7	34.7	51.8	51.6
b0708	1419	0.707	53.5	60.9	43.3	56.2	50.3
b0709	1482	0.759	52.4	54.5	40.9	61.9	45.4
b0710	744	0.759	53.5	62.5	42.7	55.2	42.2
b0711	657	0.702	57.8	68	45.7	59.8	50.8
b0712	933	0.745	55.5	63.7	44.7	58.2	47.3
b0713	735	0.72	57.7	67.8	46.5	58.8	47
b0714	792	0.697	52.4	61.7	40.2	55.3	51.7
b0715	1047	0.644	56.2	60.5	45.8	62.2	49.5
b0716	1062	0.702	44.9	47.7	37	50	52.2
b0717	729	0.676	47.7	52.7	41.6	49	48.6
b0718	2448	0.729	50	52.5	43.1	54.3	48
b0719	567	0.652	46.7	57.1	41.3	41.8	49.8
b0720	1284	0.777	50.7	55.6	40	56.5	39.2
b4735	108	0.685	34.3	36.1	38.9	27.8	48.7
b0721	390	0.643	49.2	53.8	37.7	56.2	45.5
b0722	348	0.728	51.1	53.4	34.5	65.5	38.6
b0723	1767	0.787	56.3	64.9	44	60.1	36.7
b0724	717	0.728	51.6	54.8	41.4	58.6	48.9
b0726	2802	0.76	55.7	63.4	39.3	64.3	39
b0727	1218	0.768	55.9	66.3	41.1	60.3	36.5
b0728	1167	0.757	54.3	68.1	39.1	55.8	38.4
b0729	870	0.743	53.8	58.3	45.5	57.6	35
b0730	723	0.683	48.1	59.3	33.2	51.9	50.1
b0731	1977	0.687	54.6	60.4	46	57.4	49.2
b0732	2634	0.693	49.4	56.9	37.8	53.3	52.8
b0733	1569	0.732	52.9	56.2	40.2	62.3	43
b0734	1140	0.747	53.9	55.3	41.6	64.7	38
b4515	114	0.666	51.8	57.9	44.7	52.6	46.5
b0735	294	0.654	49.7	53.1	38.8	57.1	61
b0736	405	0.651	49.6	60.7	37	51.1	60.9
b0737	693	0.708	50.5	55.8	38.5	57.1	48.5
b0738	429	0.724	51.7	61.5	37.1	56.6	46.8
b0739	1266	0.65	52.3	65.6	47.6	43.6	58.1
b0740	1293	0.713	53.1	62.4	47.3	49.7	42.9
b0741	522	0.757	51.3	59.8	37.4	56.9	36.2
b0742	792	0.699	49.5	57.2	41.3	50	55.3
b0750	1044	0.684	50.2	61.8	42.5	46.3	54.5
b0751	720	0.735	48.2	47.5	35.8	61.3	52.2
b0752	942	0.679	53.1	63.7	39.2	56.4	55.2
b0753	381	0.707	50.4	55.1	45.7	50.4	50.6
b0754	1053	0.745	52.1	60.1	39.6	56.7	45.7
b0755	753	0.759	51	61.8	36.7	54.6	36.9
b0756	1041	0.737	55.6	62.8	42.9	61.1	45.7
b0757	1149	0.728	52.9	63.4	39.7	55.6	45
b0758	1047	0.72	55.8	62.2	44.1	61	45.8
b0759	1017	0.766	54.4	61.7	39.8	61.7	42.5
b0760	1473	0.688	52.7	63.7	39.7	54.6	51
b0761	789	0.705	52.6	63.1	39.5	55.1	44.1
b0762	150	0.664	41.3	54	26	44	35.3
b0763	774	0.739	50.9	61.6	43	48.1	41.3
b0764	690	0.712	54.1	57.4	48.3	56.5	45.2
b0765	1059	0.74	53.5	62.3	38.8	59.5	42.3
b0766	819	0.739	51.5	60.4	38.8	55.3	44.7
b0767	996	0.756	55.1	65.1	40.1	60.2	43.7
b0768	954	0.657	44.8	50.9	36.8	46.5	57.8
b0769	1053	0.685	48.8	57.3	45.3	43.9	51.2
b0770	1434	0.754	49.8	49.6	40.6	59.2	39.5
b0771	2262	0.763	51.5	56.1	41.8	56.5	43.9
b0772	1284	0.748	53.3	59.1	45.8	55.1	44.8
b0773	477	0.755	52.4	60.4	45.3	51.6	42.3
b0774	1290	0.76	56.3	62.3	44	62.6	42.6
b0775	1041	0.761	55.5	61.1	40.6	64.8	41
b0776	1155	0.707	58	67.3	47.3	59.5	46.8
b0777	756	0.684	56.5	68.7	44.4	56.3	47.6
b0778	678	0.659	53.7	59.7	47.8	53.5	51.3
b0779	2022	0.734	53.6	63.9	36.1	60.7	44
b0780	909	0.696	51.4	60.7	38.9	54.5	46.8
b0781	990	0.741	54.1	61.5	40	60.9	45.6
b0782	513	0.75	52	59.6	45	51.5	45
b0783	486	0.786	56	62.3	42.6	63	41.7
b0784	246	0.732	55.7	69.5	40.2	57.3	40.4
b0785	453	0.744	56.7	65.6	45	59.6	38.1
b0786	705	0.7	48.7	45.1	39.1	61.7	55.1
b0787	714	0.623	42.3	42.4	39.1	45.4	59
b0788	957	0.714	52.4	52.7	37.3	67.1	50.2
b0789	1242	0.722	54.4	65	38.6	59.7	45.2
b0790	762	0.727	55.5	65.4	40.9	60.2	45.8
b0791	411	0.725	54.5	62.8	38	62.8	41.8
b0792	1107	0.734	52.3	52.8	37.7	66.4	46.3
b0793	1134	0.737	55.1	55.6	39.2	70.6	41
b0794	1737	0.728	55.6	60.4	40.4	65.8	44
b0795	999	0.746	57.1	68.2	42	61	44.2
b0796	672	0.726	54.2	57.1	40.6	64.7	51.7
b0797	1365	0.773	56.7	69.5	43.1	57.6	40.1
b0798	483	0.638	50.3	59	38.5	53.4	52.8
b0799	2151	0.711	54.1	62.5	38.4	61.4	46.5
b0800	963	0.696	55.7	64.2	42.7	60.1	45.2
b0801	1086	0.747	55.6	62.7	45	59.1	45.6
b0802	261	0.703	50.6	51.7	49.4	50.6	52.9
b0803	267	0.729	52.1	61.8	48.3	46.1	41.5
b0804	678	0.727	52.9	60.6	38.9	59.3	47
b0805	2283	0.751	53.8	53.6	47.3	60.6	46.5
b0806	261	0.647	52.5	56.3	47.1	54	61
b0807	927	0.718	54.2	59.5	43.7	59.2	49
b0808	2226	0.736	53.3	55.3	42.6	62.1	43.1
b0809	723	0.78	53.9	65.6	32.8	63.5	38.1
b0810	660	0.771	53.5	56.8	41.4	62.3	37.2
b0811	747	0.78	48.7	54.6	34.1	57.4	38.8
b0812	504	0.767	49	57.1	33.9	56	38.7
b0813	888	0.625	53.5	60.8	47	52.7	53.4
b4736	66	0.702	40.9	36.4	40.9	45.5	30.8
b0814	516	0.735	51.4	51.2	46.5	56.4	30.6
b0815	1584	0.723	48.4	51.3	37.3	56.4	51.4
b4705	129	0.702	41.1	39.5	27.9	55.8	46.4
b0817	468	0.663	54.1	66	38.5	57.7	57
b0818	1119	0.693	52.3	56	40.8	60.1	45.7
b0819	921	0.749	53	59.6	41.7	57.7	39.8
b0820	1593	0.769	52.8	59.7	34.3	64.4	39
b0821	1266	0.683	55.6	63.7	43.1	60	54.3
b0822	816	0.722	46.7	57.4	30.9	51.8	53.7
b0823	2433	0.769	55	62.9	39.2	62.9	41.4
b0824	900	0.77	54.1	61	41.3	60	41.4
b0825	663	0.756	54.1	65.2	43.4	53.8	42.1
b0826	750	0.725	55.2	63.6	41.6	60.4	46.1
b0827	1236	0.743	56.4	65	45.6	58.5	43.1
b0828	966	0.719	56.5	64.9	47.5	57.1	48.4
b0829	1872	0.705	54	66	40.4	55.6	48.6
b0830	1539	0.754	52.2	55	42.3	59.5	45.6
b0831	921	0.724	53.5	58.3	39.1	63.2	43.8
b0832	912	0.724	53.1	58.2	43.1	57.9	47.2
b0833	2349	0.729	41.6	49	30.7	45.1	52.6
b0834	1329	0.714	43.5	48.5	32.3	49.7	54
b0835	1326	0.777	52.6	64.3	36	57.7	41.3
b0836	384	0.671	48.7	58.6	32.8	54.7	57.7
b0837	1116	0.703	51.7	60.2	42.5	52.4	50.9
b0838	627	0.688	52	60.8	39.7	55.5	52.7
b0839	1203	0.749	51.7	55.9	42.1	57.1	42.9
b0840	759	0.762	50.7	58.1	37.9	56.1	44.5
b0841	597	0.692	51.6	55.3	40.7	58.8	50.5
b0842	1233	0.728	52.4	55.5	41.4	60.3	45
b0843	285	0.667	53	68.4	40	50.5	44.4
b0844	816	0.742	45.6	57.4	31.2	48.2	51.6
b0845	1209	0.679	54.9	58.6	48.6	57.6	46.8
b0846	537	0.645	51.6	55.9	40.8	58.1	50.4
b0847	1686	0.708	51.5	57.1	39.1	58.4	47.9
b0848	378	0.674	49.7	52.4	43.7	53.2	50.6
b0849	258	0.746	45	61.6	34.9	38.4	45.4
b0850	288	0.674	50.3	63.5	35.4	52.1	54.4
b0851	723	0.769	52.6	58.9	42.3	56.4	43.8
b0852	903	0.701	56.3	63.5	44.5	60.8	48.1
b0853	477	0.735	48.4	59.7	32.1	53.5	56
b0854	1113	0.753	50.9	57.4	37.7	57.4	45.1
b0855	1134	0.737	55.2	66.1	36.8	62.7	44.7
b0856	954	0.71	50.9	55.3	36.5	61	43.1
b0857	846	0.707	54.7	54.3	46.8	63.1	46.9
b0858	489	0.719	52.1	53.4	39.3	63.8	48.6
b0859	1128	0.725	54.6	62.5	42.3	59	47.1
b0860	732	0.726	44.8	51.6	37.3	45.5	43.7
b0861	669	0.776	52.2	51.6	39	65.9	38.8
b0862	717	0.73	55	58.6	42.3	64	46
b0863	732	0.764	50.3	55.3	36.1	59.4	37.8
b0864	729	0.775	52.7	62.6	38.3	57.2	39.7
b0865	516	0.69	53.9	57.6	45.9	58.1	48.7
b0866	324	0.719	54	61.1	46.3	54.6	48.9
b0867	831	0.746	56.1	65.3	43.3	59.6	44.8
b0868	1014	0.744	54.4	58.6	42.3	62.4	46.7
b0869	1431	0.707	55	63.5	41.3	60.2	49.1
b0870	1002	0.732	56.2	65.3	42.2	61.1	46.2
b0871	1719	0.731	54	61.6	41.4	59.2	45.4
b0872	969	0.72	55.4	59.4	46.7	60.1	45
b0873	1653	0.756	54.7	62.4	40.7	61.2	41
b0874	900	0.703	48.2	54.7	38	52	48.5
b0875	696	0.745	52.3	59.5	48.7	48.7	46.8
b0876	1659	0.699	53.1	62.6	41.6	55.2	47.6
b0877	993	0.693	49.9	55.3	40.8	53.8	52.3
b0878	1116	0.687	53	64.8	37.4	57	51.6
b0879	1947	0.698	53.9	63	40.5	58.2	50.8
b0880	225	0.668	48.4	58.7	38.7	48	54.8
b0881	321	0.687	45.2	55.1	29.9	50.5	48.2
b0882	2277	0.73	52.6	63.5	36.9	57.4	45.3
b0884	219	0.753	48.4	52.1	35.6	57.5	40
b0885	705	0.646	54	62.1	46	54	53.7
b0886	1722	0.668	53.8	64.3	42.5	54.5	49.7
b0887	1767	0.677	53.7	64.7	43.5	52.8	50
b0888	966	0.765	53.6	60.9	41.9	58.1	45
b0889	495	0.663	47.9	61.8	33.9	47.9	58.2
b0890	3990	0.705	54	67.9	43.5	50.7	47
b0891	612	0.77	51	53.9	41.2	57.8	46.2
b0892	1344	0.722	53.6	63.8	44.9	52	47.5
b0893	1293	0.739	52.7	65.9	38.3	53.8	41.1
b0894	2445	0.74	52.7	57.3	43.3	57.5	44.3
b0895	618	0.794	51.8	54.9	45.6	54.9	43
b0896	864	0.694	54.6	58.3	43.8	61.8	47.1
b0897	627	0.697	46.3	55	38.8	45	55.4
b0898	1149	0.693	52	53.5	42	60.6	46.1
b0899	1431	0.719	47.2	50.1	38.6	52.8	48.6
b0900	909	0.65	46.6	56.8	39.3	43.9	53.1
b0901	591	0.669	42.8	55.3	32.5	40.6	52.4
b0902	741	0.742	50.3	59.5	34	57.5	42.3
b0903	2283	0.741	51.2	57.6	37.5	58.6	29.8
b0904	858	0.684	49	52.1	39.2	55.6	48.5
b0905	1761	0.759	51.6	60	39.2	55.5	43.2
b0906	693	0.693	47.6	56.7	34.6	51.5	49
b0907	1089	0.709	50.1	59.5	39.1	51.8	47.8
b0908	1284	0.743	50.8	57.7	43.7	50.9	47.1
b0909	765	0.742	49.9	53.3	45.5	51	42.3
b0910	684	0.729	53.7	68.4	42.1	50.4	47.3
b0911	1674	0.728	51.2	66.3	34.9	52.3	29.3
b0912	285	0.7	49.1	58.9	41.1	47.4	52.4
b0913	2265	0.617	49.5	55.8	44.2	48.5	55.2
b0914	1749	0.744	50.9	55.2	39.6	57.8	44.1
b0915	987	0.69	54.7	66.3	45	52.9	48.6
b0916	1233	0.695	52.3	63	41.8	52.1	51.7
b0917	183	0.722	48.1	60.7	34.4	49.2	41.5
b0918	747	0.725	52.7	69.1	41	48.2	46.9
b0919	894	0.668	52.5	58.4	43.3	55.7	55.6
b0920	780	0.717	52.2	56.2	44.6	55.8	46.3
b0921	786	0.737	51.5	62.2	37.4	55	47.1
b0922	1323	0.748	52.8	64.6	35.6	58.3	46.9
b0923	705	0.758	51.6	63.4	35.7	55.7	45.5
b0924	4461	0.781	55.7	68.3	37.3	61.4	40.2
b0925	1848	0.68	53.1	60.1	44.8	54.5	51.1
b0926	549	0.706	49.7	55.2	43.7	50.3	51.8
b0927	648	0.736	51.5	64.4	38	52.3	49.4
b0928	1191	0.732	52.2	61.2	41.8	53.7	44.5
b0929	1089	0.732	47.8	55.6	38.6	49	37.1
b0930	1401	0.759	52.4	63.2	39.4	54.6	40
b0931	1203	0.716	51.2	62.1	37.9	53.6	50.3
b0932	2613	0.769	53.5	61.5	37.7	61.2	41.1
b0933	768	0.697	55.6	68.8	43	55.1	47.1
b0934	792	0.726	55.8	56.1	44.3	67	45.2
b0935	1146	0.712	57	68.8	44.2	57.9	49
b0936	960	0.721	52.4	60.9	43.4	52.8	47
b0937	576	0.695	54.2	68.2	39.6	54.7	50.7
b0938	540	0.661	42.4	45.6	43.9	37.8	38.7
b0939	702	0.623	45	47	45.7	42.3	58.6
b0940	2601	0.696	47.9	51.9	42.9	48.8	52.7
b0941	1071	0.651	48.3	52.9	47.3	44.5	51.5
b0942	543	0.628	47.1	55.2	40.3	45.9	54.1
b0943	516	0.687	47.3	50	40.1	51.7	58.8
b0944	711	0.653	51.8	54	47.3	54	55.2
b0945	1011	0.726	47	57.6	37.1	46.3	47.1
b0946	543	0.731	49.4	58.6	36.5	53	42
b0947	1110	0.692	50.5	60.5	45.7	45.1	50.2
b0948	2109	0.751	54.2	61.2	42	59.6	43.5
b0949	1908	0.755	52.4	65.4	34.4	57.4	44.1
b0950	1254	0.676	52.2	55.3	43.3	58.1	52.7
b0951	1641	0.726	50.2	57.2	38.2	55.2	47.3
b0952	564	0.69	52.1	59	39.4	58	47.1
b0953	168	0.666	54.2	62.5	50	50	30.1
b0954	519	0.783	53.2	63.6	39.3	56.6	39.1
b0955	1761	0.695	51.8	62.7	39.7	53	51.6
b0956	453	0.724	46.1	58.3	30.5	49.7	47.2
b0957	1041	0.709	53.8	61.4	44.1	55.9	31.5
b0958	510	0.631	48.2	54.7	44.1	45.9	56.6
b0959	630	0.63	48.1	56.2	38.6	49.5	51.9
b0960	2154	0.706	52.2	60.7	40.4	55.6	50.3
b0961	447	0.746	48.3	53	43.6	48.3	42.1
b0962	2055	0.714	53	61.8	40.9	56.5	48.5
b0963	459	0.715	52.7	59.5	37.9	60.8	53.8
b0964	663	0.681	50.7	58.4	39.4	54.3	44.9
b0965	414	0.713	54.3	64.5	41.3	57.2	45.4
b0966	318	0.716	55.7	70.8	34.9	61.3	44.8
b0967	1191	0.745	51.8	61.5	40.3	53.7	45.1
b0968	279	0.709	52.3	60.2	44.1	52.7	45.3
b0969	330	0.779	46.7	54.5	37.3	48.2	40.8
b0970	660	0.769	51.2	49.5	42.3	61.8	41.8
b0972	1119	0.714	56.1	57.9	48.8	61.7	48.4
b0973	1794	0.753	56.5	58.9	41.8	68.9	41.5
b0974	708	0.747	51.8	47.5	38.6	69.5	45.1
b0975	588	0.687	58.8	69.9	40.8	65.8	43.1
b0976	399	0.695	56.6	63.2	45.1	61.7	43
b0977	858	0.692	54.9	63.6	41.6	59.4	46.9
b0978	1545	0.712	54	56.7	40.8	64.7	47.2
b0979	1137	0.708	53.2	53	40.9	65.7	46.9
b4592	93	0.691	46.2	38.7	35.5	64.5	45.6
b0980	1299	0.661	53.9	60	46.4	55.2	53.7
b0981	2181	0.735	50.5	59.6	37.1	54.9	46.4
b0982	447	0.659	52.3	65.1	42.3	49.7	54.4
b0983	1140	0.714	51	56.3	38.4	58.2	49.6
b0984	2097	0.718	52	56.7	42.6	56.7	48.9
b0985	747	0.663	52.3	64.7	40.6	51.8	52.4
b0986	645	0.656	47.6	54.9	40.5	47.4	52.7
b0987	306	0.59	57.5	52	69.6	51	61
b4516	276	0.665	52.9	50	54.3	54.3	45.2
b0988	504	0.664	54.8	57.7	39.9	66.7	46.8
